SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	Variety	Race	Race_info	GrowthCondtion_Rep
CC0119FE1L0718177296	71817	Leaf	CentralCity	1	19	Full N	E1	PI329311	79	Energy	Durra	Durra	Full N_1
CC0209FE1L0718177421	71817	Leaf	CentralCity	2	9	Full N	E1	PI329311	95	Energy	Durra	Durra	Full N_2
CC0321FE1L0718177453	71817	Leaf	CentralCity	3	21	Full N	E1	PI329311	98	Energy	Durra	Durra	Full N_3
CC0321LE1L0718177474	71817	Leaf	CentralCity	3	21	Low N	E1	PI329311	96	Energy	Durra	Durra	Low N_3
CC0415LE1L0718177492	71817	Leaf	CentralCity	4	15	Low N	E1	PI329311	92	Energy	Durra	Durra	Low N_4
CC0815FE1L0718178588	71817	Leaf	CentralCity	8	15	Full N	E1	PI329311	95	Energy	Durra	Durra	Full N_8
CC0815LE1L0718177783	71817	Leaf	CentralCity	8	15	Low N	E1	PI329311	92	Energy	Durra	Durra	Low N_8
CC0106FE10L0718177284	71817	Leaf	CentralCity	1	6	Full N	E10	PI297155	82	Energy	Kafir	Kafir	Full N_1
CC0203FE10L0718177416	71817	Leaf	CentralCity	2	3	Full N	E10	PI297155	92	Energy	Kafir	Kafir	Full N_2
CC0306FE10L0718177439	71817	Leaf	CentralCity	3	6	Full N	E10	PI297155	94	Energy	Kafir	Kafir	Full N_3
CC0404FE10L0718177505	71817	Leaf	CentralCity	4	4	Full N	E10	PI297155	94	Energy	Kafir	Kafir	Full N_4
CC0506LE10L0718177550	71817	Leaf	CentralCity	5	6	Low N	E10	PI297155	95	Energy	Kafir	Kafir	Low N_5
CC0604FE10L0718177570	71817	Leaf	CentralCity	6	4	Full N	E10	PI297155	94	Energy	Kafir	Kafir	Full N_6
CC0121LE11L0718177277	71817	Leaf	CentralCity	1	21	Low N	E11	PI506069	87	Energy	Guinea/bicolor	Intermediate	Low N_1
CC0222FE11L0718177433	71817	Leaf	CentralCity	2	22	Full N	E11	PI506069	89	Energy	Guinea/bicolor	Intermediate	Full N_2
CC0222LE11L0718177412	71817	Leaf	CentralCity	2	22	Low N	E11	PI506069	89	Energy	Guinea/bicolor	Intermediate	Low N_2
CC0313FE11L0718177445	71817	Leaf	CentralCity	3	13	Full N	E11	PI506069	93	Energy	Guinea/bicolor	Intermediate	Full N_3
CC0424FE11L0718177525	71817	Leaf	CentralCity	4	24	Full N	E11	PI506069	89	Energy	Guinea/bicolor	Intermediate	Full N_4
CC0424LE11L0718177501	71817	Leaf	CentralCity	4	24	Low N	E11	PI506069	96	Energy	Guinea/bicolor	Intermediate	Low N_4
CC0516FE11L0718177538	71817	Leaf	CentralCity	5	16	Full N	E11	PI506069	92	Energy	Guinea/bicolor	Intermediate	Full N_5
CC0516LE11L0718177559	71817	Leaf	CentralCity	5	16	Low N	E11	PI506069	96	Energy	Guinea/bicolor	Intermediate	Low N_5
CC0619FE11L0718177583	71817	Leaf	CentralCity	6	19	Full N	E11	PI506069	91	Energy	Guinea/bicolor	Intermediate	Full N_6
CC0715LE11L0718177359	71817	Leaf	CentralCity	7	15	Low N	E11	PI506069	81	Energy	Guinea/bicolor	Intermediate	Low N_7
CC0819LE11L0718177787	71817	Leaf	CentralCity	8	19	Low N	E11	PI506069	94	Energy	Guinea/bicolor	Intermediate	Low N_8
CC0123FE13L0718177300	71817	Leaf	CentralCity	1	23	Full N	E13	PI297130	83	Energy	Caudatum	Caudatum	Full N_1
CC0221FE13L0718177432	71817	Leaf	CentralCity	2	21	Full N	E13	PI297130	96	Energy	Caudatum	Caudatum	Full N_2
CC0221LE13L0718177411	71817	Leaf	CentralCity	2	21	Low N	E13	PI297130	89	Energy	Caudatum	Caudatum	Low N_2
CC0310LE13L0718177464	71817	Leaf	CentralCity	3	10	Low N	E13	PI297130	89	Energy	Caudatum	Caudatum	Low N_3
CC0420FE13L0718177521	71817	Leaf	CentralCity	4	20	Full N	E13	PI297130	96	Energy	Caudatum	Caudatum	Full N_4
CC0520FE13L0718177542	71817	Leaf	CentralCity	5	20	Full N	E13	PI297130	93	Energy	Caudatum	Caudatum	Full N_5
CC0520LE13L0718177563	71817	Leaf	CentralCity	5	20	Low N	E13	PI297130	96	Energy	Caudatum	Caudatum	Low N_5
CC0621FE13L0718177398	71817	Leaf	CentralCity	6	21	Full N	E13	PI297130	79	Energy	Caudatum	Caudatum	Full N_6
CC0621LE13L0718177377	71817	Leaf	CentralCity	6	21	Low N	E13	PI297130	79	Energy	Caudatum	Caudatum	Low N_6
CC0712FE13L0718177338	71817	Leaf	CentralCity	7	12	Full N	E13	PI297130	79	Energy	Caudatum	Caudatum	Full N_7
CC0712LE13L0718177362	71817	Leaf	CentralCity	7	12	Low N	E13	PI297130	80	Energy	Caudatum	Caudatum	Low N_7
CC0823FE13L0718177769	71817	Leaf	CentralCity	8	23	Full N	E13	PI297130	95	Energy	Caudatum	Caudatum	Full N_8
CC0823LE13L0718177790	71817	Leaf	CentralCity	8	23	Low N	E13	PI297130	92	Energy	Caudatum	Caudatum	Low N_8
CC0113FE14L0718176038	71817	Leaf	CentralCity	1	13	Full N	E14	Grassl	86	Energy	Caudatum	Caudatum	Full N_1
CC0113LE14L0718176035	71817	Leaf	CentralCity	1	13	Low N	E14	Grassl	79	Energy	Caudatum	Caudatum	Low N_1
CC0220LE14L0718176041	71817	Leaf	CentralCity	2	20	Low N	E14	Grassl	85	Energy	Caudatum	Caudatum	Low N_2
CC0311FE14L0718176047	71817	Leaf	CentralCity	3	11	Full N	E14	Grassl	82	Energy	Caudatum	Caudatum	Full N_3
CC0311LE14L0718176050	71817	Leaf	CentralCity	3	11	Low N	E14	Grassl	86	Energy	Caudatum	Caudatum	Low N_3
CC0422FE14L0718177523	71817	Leaf	CentralCity	4	22	Full N	E14	Grassl	95	Energy	Caudatum	Caudatum	Full N_4
CC0422LE14L0718177499	71817	Leaf	CentralCity	4	22	Low N	E14	Grassl	93	Energy	Caudatum	Caudatum	Low N_4
CC0512FE14L0718176053	71817	Leaf	CentralCity	5	12	Full N	E14	Grassl	82	Energy	Caudatum	Caudatum	Full N_5
CC0512LE14L0718176056	71817	Leaf	CentralCity	5	12	Low N	E14	Grassl	85	Energy	Caudatum	Caudatum	Low N_5
CC0612FE14L0718176059	71817	Leaf	CentralCity	6	12	Full N	E14	Grassl	81	Energy	Caudatum	Caudatum	Full N_6
CC0612LE14L0718176062	71817	Leaf	CentralCity	6	12	Low N	E14	Grassl	79	Energy	Caudatum	Caudatum	Low N_6
CC0722LE14L0718177352	71817	Leaf	CentralCity	7	22	Low N	E14	Grassl	79	Energy	Caudatum	Caudatum	Low N_7
CC0821LE14L0718176068	71817	Leaf	CentralCity	8	21	Low N	E14	Grassl	80	Energy	Caudatum	Caudatum	Low N_8
CC0210FE15L0718177422	71817	Leaf	CentralCity	2	10	Full N	E15	PI152730	93	Energy	Caudatum/bicolor	Intermediate	Full N_2
CC0412LE15L0718177489	71817	Leaf	CentralCity	4	12	Low N	E15	PI152730	92	Energy	Caudatum/bicolor	Intermediate	Low N_4
CC0609FE15L0718177574	71817	Leaf	CentralCity	6	9	Full N	E15	PI152730	96	Energy	Caudatum/bicolor	Intermediate	Full N_6
CC0104FE17L0718176037	71817	Leaf	CentralCity	1	4	Full N	E17	PI655972	87	Energy	Kafir	Kafir	Full N_1
CC0104LE17L0718176034	71817	Leaf	CentralCity	1	4	Low N	E17	PI655972	85	Energy	Kafir	Kafir	Low N_1
CC0205FE17L0718176043	71817	Leaf	CentralCity	2	5	Full N	E17	PI655972	79	Energy	Kafir	Kafir	Full N_2
CC0205LE17L0718176040	71817	Leaf	CentralCity	2	5	Low N	E17	PI655972	80	Energy	Kafir	Kafir	Low N_2
CC0303FE17L0718176046	71817	Leaf	CentralCity	3	3	Full N	E17	PI655972	86	Energy	Kafir	Kafir	Full N_3
CC0403LE17L0718177480	71817	Leaf	CentralCity	4	3	Low N	E17	PI655972	94	Energy	Kafir	Kafir	Low N_4
CC0505FE17L0718176052	71817	Leaf	CentralCity	5	5	Full N	E17	PI655972	80	Energy	Kafir	Kafir	Full N_5
