SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Variety	Plate	Race	Race_info	Class	shannon_entropy	faith_pd
CC0815FE1Z0718177718	71817	RHZ	CentralCity	8	15	Full N	E1	PI329311	Energy	76	Durra	Durra	Tolerant	10.5263262	303.094542
CC0716LE1Z0718177673	71817	RHZ	CentralCity	7	16	Low N	E1	PI329311	Energy	72	Durra	Durra	Tolerant	9.230811445	266.0620033
CC0615FE1Z0718177627	71817	RHZ	CentralCity	6	15	Full N	E1	PI329311	Energy	72	Durra	Durra	Tolerant	10.76259767	305.9326959
CC0517LE1Z0718177608	71817	RHZ	CentralCity	5	17	Low N	E1	PI329311	Energy	77	Durra	Durra	Tolerant	8.753071749	297.7999547
CC0415LE1Z0718176253	71817	RHZ	CentralCity	4	15	Low N	E1	PI329311	Energy	66	Durra	Durra	Tolerant	7.880602438	253.8058896
CC0321LE1Z0718176235	71817	RHZ	CentralCity	3	21	Low N	E1	PI329311	Energy	68	Durra	Durra	Tolerant	11.64720444	344.0979759
CC0321FE1Z0718176214	71817	RHZ	CentralCity	3	21	Full N	E1	PI329311	Energy	69	Durra	Durra	Tolerant	9.06357192	251.5936046
CC0209FE1Z0718176182	71817	RHZ	CentralCity	2	9	Full N	E1	PI329311	Energy	64	Durra	Durra	Tolerant	11.25746266	310.021466
CC0119LE1Z0718176128	71817	RHZ	CentralCity	1	19	Low N	E1	PI329311	Energy	65	Durra	Durra	Tolerant	11.42042561	342.6869524
CC0119FE1Z0718176149	71817	RHZ	CentralCity	1	19	Full N	E1	PI329311	Energy	68	Durra	Durra	Tolerant	6.187405102	226.7397629
CC0805LE10Z0718177729	71817	RHZ	CentralCity	8	5	Low N	E10	PI297155	Energy	71	Kafir	Kafir	Tolerant	7.652004153	274.2536741
CC0704LE10Z0718177661	71817	RHZ	CentralCity	7	4	Low N	E10	PI297155	Energy	71	Kafir	Kafir	Tolerant	11.66067028	366.3152087
CC0704FE10Z0718177685	71817	RHZ	CentralCity	7	4	Full N	E10	PI297155	Energy	74	Kafir	Kafir	Tolerant	11.18923503	336.1834376
CC0604LE10Z0718177639	71817	RHZ	CentralCity	6	4	Low N	E10	PI297155	Energy	72	Kafir	Kafir	Tolerant	11.01966039	330.1120605
CC0604FE10Z0718177618	71817	RHZ	CentralCity	6	4	Full N	E10	PI297155	Energy	70	Kafir	Kafir	Tolerant	8.500074515	270.602892
CC0506LE10Z0718177598	71817	RHZ	CentralCity	5	6	Low N	E10	PI297155	Energy	72	Kafir	Kafir	Tolerant	10.73206622	316.1772911
CC0506FE10Z0718176290	71817	RHZ	CentralCity	5	6	Full N	E10	PI297155	Energy	66	Kafir	Kafir	Tolerant	10.72471254	302.7165709
CC0404FE10Z0718176266	71817	RHZ	CentralCity	4	4	Full N	E10	PI297155	Energy	63	Kafir	Kafir	Tolerant	10.0811296	297.4576559
CC0306LE10Z0718176221	71817	RHZ	CentralCity	3	6	Low N	E10	PI297155	Energy	69	Kafir	Kafir	Tolerant	11.78681033	355.0968202
CC0203LE10Z0718176156	71817	RHZ	CentralCity	2	3	Low N	E10	PI297155	Energy	64	Kafir	Kafir	Tolerant	10.75759878	329.0868686
CC0106LE10Z0718176116	71817	RHZ	CentralCity	1	6	Low N	E10	PI297155	Energy	69	Kafir	Kafir	Tolerant	5.022405096	218.6658004
CC0106FE10Z0718176137	71817	RHZ	CentralCity	1	6	Full N	E10	PI297155	Energy	67	Kafir	Kafir	Tolerant	4.387981364	171.5444698
CC0819LE11Z0718177743	71817	RHZ	CentralCity	8	19	Low N	E11	PI506069	Energy	70	Guinea/bicolor	Intermediate	Tolerant	6.797411866	237.854045
CC0819FE11Z0718177722	71817	RHZ	CentralCity	8	19	Full N	E11	PI506069	Energy	74	Guinea/bicolor	Intermediate	Tolerant	10.66581254	306.2256574
CC0715LE11Z0718177672	71817	RHZ	CentralCity	7	15	Low N	E11	PI506069	Energy	77	Guinea/bicolor	Intermediate	Tolerant	10.91912027	319.3291
CC0715FE11Z0718177696	71817	RHZ	CentralCity	7	15	Full N	E11	PI506069	Energy	78	Guinea/bicolor	Intermediate	Tolerant	9.180392902	276.8788972
CC0619LE11Z0718177652	71817	RHZ	CentralCity	6	19	Low N	E11	PI506069	Energy	75	Guinea/bicolor	Intermediate	Tolerant	11.63036825	360.1097605
CC0619FE11Z0718177631	71817	RHZ	CentralCity	6	19	Full N	E11	PI506069	Energy	70	Guinea/bicolor	Intermediate	Tolerant	10.8278663	297.1845972
CC0516LE11Z0718177607	71817	RHZ	CentralCity	5	16	Low N	E11	PI506069	Energy	78	Guinea/bicolor	Intermediate	Tolerant	11.5126093	343.0271072
CC0516FE11Z0718177586	71817	RHZ	CentralCity	5	16	Full N	E11	PI506069	Energy	78	Guinea/bicolor	Intermediate	Tolerant	11.26337127	312.9278121
CC0424LE11Z0718176262	71817	RHZ	CentralCity	4	24	Low N	E11	PI506069	Energy	63	Guinea/bicolor	Intermediate	Tolerant	10.80332403	315.3974699
CC0424FE11Z0718176286	71817	RHZ	CentralCity	4	24	Full N	E11	PI506069	Energy	63	Guinea/bicolor	Intermediate	Tolerant	11.30931786	320.6936954
CC0313LE11Z0718176227	71817	RHZ	CentralCity	3	13	Low N	E11	PI506069	Energy	64	Guinea/bicolor	Intermediate	Tolerant	11.57904347	343.1957548
CC0313FE11Z0718176206	71817	RHZ	CentralCity	3	13	Full N	E11	PI506069	Energy	62	Guinea/bicolor	Intermediate	Tolerant	9.414007108	262.6837165
CC0222LE11Z0718176173	71817	RHZ	CentralCity	2	22	Low N	E11	PI506069	Energy	68	Guinea/bicolor	Intermediate	Tolerant	11.30111254	343.8129718
CC0121LE11Z0718176130	71817	RHZ	CentralCity	1	21	Low N	E11	PI506069	Energy	63	Guinea/bicolor	Intermediate	Tolerant	11.30647381	323.6695758
CC0121FE11Z0718176151	71817	RHZ	CentralCity	1	21	Full N	E11	PI506069	Energy	67	Guinea/bicolor	Intermediate	Tolerant	10.95023188	318.7986971
CC0823FE13Z0718177725	71817	RHZ	CentralCity	8	23	Full N	E13	PI297130	Energy	74	Caudatum	Caudatum	Tolerant	11.24096252	325.1371814
CC0712LE13Z0718177669	71817	RHZ	CentralCity	7	12	Low N	E13	PI297130	Energy	77	Caudatum	Caudatum	Tolerant	11.79867982	365.1585094
CC0621LE13Z0718177654	71817	RHZ	CentralCity	6	21	Low N	E13	PI297130	Energy	71	Caudatum	Caudatum	Tolerant	7.128505114	245.5846806
CC0621FE13Z0718177633	71817	RHZ	CentralCity	6	21	Full N	E13	PI297130	Energy	73	Caudatum	Caudatum	Tolerant	6.167835044	209.9455146
CC0520LE13Z0718177611	71817	RHZ	CentralCity	5	20	Low N	E13	PI297130	Energy	73	Caudatum	Caudatum	Tolerant	7.273317762	251.9204727
CC0520FE13Z0718177590	71817	RHZ	CentralCity	5	20	Full N	E13	PI297130	Energy	78	Caudatum	Caudatum	Tolerant	10.13622945	295.3722186
CC0420LE13Z0718176258	71817	RHZ	CentralCity	4	20	Low N	E13	PI297130	Energy	63	Caudatum	Caudatum	Tolerant	10.22409062	297.3689071
CC0420FE13Z0718176282	71817	RHZ	CentralCity	4	20	Full N	E13	PI297130	Energy	65	Caudatum	Caudatum	Tolerant	6.52895644	229.5466924
CC0221LE13Z0718176172	71817	RHZ	CentralCity	2	21	Low N	E13	PI297130	Energy	63	Caudatum	Caudatum	Tolerant	11.23200503	336.948689
CC0123LE13Z0718176132	71817	RHZ	CentralCity	1	23	Low N	E13	PI297130	Energy	68	Caudatum	Caudatum	Tolerant	11.26494281	335.2122575
CC0123FE13Z0718176153	71817	RHZ	CentralCity	1	23	Full N	E13	PI297130	Energy	68	Caudatum	Caudatum	Tolerant	3.78004513	154.2220776
CC0821LE14Z0718175372	71817	RHZ	CentralCity	8	21	Low N	E14	Grassl	Energy	65	Caudatum	Caudatum	Sensitive	10.19117152	287.5819745
CC0722FE14Z0718177703	71817	RHZ	CentralCity	7	22	Full N	E14	Grassl	Energy	78	Caudatum	Caudatum	Sensitive	10.23114676	298.230158
CC0612LE14Z0718175366	71817	RHZ	CentralCity	6	12	Low N	E14	Grassl	Energy	69	Caudatum	Caudatum	Sensitive	9.246914637	281.2506382
CC0612FE14Z0718175363	71817	RHZ	CentralCity	6	12	Full N	E14	Grassl	Energy	69	Caudatum	Caudatum	Sensitive	10.38741954	283.8027494
CC0512LE14Z0718175360	71817	RHZ	CentralCity	5	12	Low N	E14	Grassl	Energy	62	Caudatum	Caudatum	Sensitive	7.40514308	237.7260576
CC0512FE14Z0718175357	71817	RHZ	CentralCity	5	12	Full N	E14	Grassl	Energy	69	Caudatum	Caudatum	Sensitive	7.694385715	225.561347
