SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	Variety	GrowthCondtion_Variety	Variety_GrowthCondtion
CC0101FG1L0718176036	71817	Leaf	CentralCity	1	1	Full N	G1	BTx623	84	Grain	Full N_Grain	Grain_Full N
CC0104LE17L0718176034	71817	Leaf	CentralCity	1	4	Low N	E17	PI655972	85	Energy	Low N_Energy	Energy_Low N
CC0105FS2L0718177283	71817	Leaf	CentralCity	1	5	Full N	S2	SanChiSan	86	Sweet	Full N_Sweet	Sweet_Full N
CC0106FE10L0718177284	71817	Leaf	CentralCity	1	6	Full N	E10	PI297155	82	Energy	Full N_Energy	Energy_Full N
CC0108LS3L0718177265	71817	Leaf	CentralCity	1	8	Low N	S3	ICSV700	79	Sweet	Low N_Sweet	Sweet_Low N
CC0113LE14L0718176035	71817	Leaf	CentralCity	1	13	Low N	E14	Grassl	79	Energy	Low N_Energy	Energy_Low N
CC0115FE6L0718177292	71817	Leaf	CentralCity	1	15	Full N	E6	PI585954	81	Energy	Full N_Energy	Energy_Full N
CC0117FS6L0718177294	71817	Leaf	CentralCity	1	17	Full N	S6	ChineseAmber	82	Sweet	Full N_Sweet	Sweet_Full N
CC0117LS6L0718177273	71817	Leaf	CentralCity	1	17	Low N	S6	ChineseAmber	82	Sweet	Low N_Sweet	Sweet_Low N
CC0121LE11L0718177277	71817	Leaf	CentralCity	1	21	Low N	E11	PI506069	87	Energy	Low N_Energy	Energy_Low N
CC0122LE9L0718177278	71817	Leaf	CentralCity	1	22	Low N	E9	PI229841	86	Energy	Low N_Energy	Energy_Low N
CC0123FE13L0718177300	71817	Leaf	CentralCity	1	23	Full N	E13	PI297130	83	Energy	Full N_Energy	Energy_Full N
CC0201FG1L0718176042	71817	Leaf	CentralCity	2	1	Full N	G1	BTx623	80	Grain	Full N_Grain	Grain_Full N
CC0203FE10L0718177416	71817	Leaf	CentralCity	2	3	Full N	E10	PI297155	92	Energy	Full N_Energy	Energy_Full N
CC0204FS2L0718177417	71817	Leaf	CentralCity	2	4	Full N	S2	SanChiSan	90	Sweet	Full N_Sweet	Sweet_Full N
CC0205FE17L0718176043	71817	Leaf	CentralCity	2	5	Full N	E17	PI655972	79	Energy	Full N_Energy	Energy_Full N
CC0205LE17L0718176040	71817	Leaf	CentralCity	2	5	Low N	E17	PI655972	80	Energy	Low N_Energy	Energy_Low N
CC0206FS10L0718177418	71817	Leaf	CentralCity	2	6	Full N	S10	China17	94	Sweet	Full N_Sweet	Sweet_Full N
CC0206LS10L0718177305	71817	Leaf	CentralCity	2	6	Low N	S10	China17	86	Sweet	Low N_Sweet	Sweet_Low N
CC0207FS4L0718177419	71817	Leaf	CentralCity	2	7	Full N	S4	Atlas	96	Sweet	Full N_Sweet	Sweet_Full N
CC0207LS4L0718177306	71817	Leaf	CentralCity	2	7	Low N	S4	Atlas	83	Sweet	Low N_Sweet	Sweet_Low N
CC0208FE9L0718177420	71817	Leaf	CentralCity	2	8	Full N	E9	PI229841	95	Energy	Full N_Energy	Energy_Full N
CC0209FE1L0718177421	71817	Leaf	CentralCity	2	9	Full N	E1	PI329311	95	Energy	Full N_Energy	Energy_Full N
CC0210FE15L0718177422	71817	Leaf	CentralCity	2	10	Full N	E15	PI152730	93	Energy	Full N_Energy	Energy_Full N
CC0212LE6L0718177403	71817	Leaf	CentralCity	2	12	Low N	E6	PI585954	94	Energy	Low N_Energy	Energy_Low N
CC0213FS6L0718177425	71817	Leaf	CentralCity	2	13	Full N	S6	ChineseAmber	95	Sweet	Full N_Sweet	Sweet_Full N
CC0213LS6L0718177404	71817	Leaf	CentralCity	2	13	Low N	S6	ChineseAmber	92	Sweet	Low N_Sweet	Sweet_Low N
CC0214FE3L0718177426	71817	Leaf	CentralCity	2	14	Full N	E3	PI505735	94	Energy	Full N_Energy	Energy_Full N
CC0215FE18L0718177427	71817	Leaf	CentralCity	2	15	Full N	E18	PI510757	94	Energy	Full N_Energy	Energy_Full N
CC0215LE18L0718177406	71817	Leaf	CentralCity	2	15	Low N	E18	PI510757	90	Energy	Low N_Energy	Energy_Low N
CC0216FE4L0718177428	71817	Leaf	CentralCity	2	16	Full N	E4	PI329632	92	Energy	Full N_Energy	Energy_Full N
CC0216LE4L0718177407	71817	Leaf	CentralCity	2	16	Low N	E4	PI329632	92	Energy	Low N_Energy	Energy_Low N
CC0217LE8L0718177408	71817	Leaf	CentralCity	2	17	Low N	E8	M81e	94	Energy	Low N_Energy	Energy_Low N
CC0218LS3L0718177409	71817	Leaf	CentralCity	2	18	Low N	S3	ICSV700	94	Sweet	Low N_Sweet	Sweet_Low N
CC0220LE14L0718176041	71817	Leaf	CentralCity	2	20	Low N	E14	Grassl	85	Energy	Low N_Energy	Energy_Low N
CC0221FE13L0718177432	71817	Leaf	CentralCity	2	21	Full N	E13	PI297130	96	Energy	Full N_Energy	Energy_Full N
CC0221LE13L0718177411	71817	Leaf	CentralCity	2	21	Low N	E13	PI297130	89	Energy	Low N_Energy	Energy_Low N
CC0222FE11L0718177433	71817	Leaf	CentralCity	2	22	Full N	E11	PI506069	89	Energy	Full N_Energy	Energy_Full N
CC0222LE11L0718177412	71817	Leaf	CentralCity	2	22	Low N	E11	PI506069	89	Energy	Low N_Energy	Energy_Low N
CC0223FE7L0718177434	71817	Leaf	CentralCity	2	23	Full N	E7	NTJ2	92	Energy	Full N_Energy	Energy_Full N
CC0223LE7L0718177413	71817	Leaf	CentralCity	2	23	Low N	E7	NTJ2	93	Energy	Low N_Energy	Energy_Low N
CC0301FG1L0718176045	71817	Leaf	CentralCity	3	1	Full N	G1	BTx623	85	Grain	Full N_Grain	Grain_Full N
CC0304FS10L0718177437	71817	Leaf	CentralCity	3	4	Full N	S10	China17	95	Sweet	Full N_Sweet	Sweet_Full N
CC0305FS2L0718177438	71817	Leaf	CentralCity	3	5	Full N	S2	SanChiSan	97	Sweet	Full N_Sweet	Sweet_Full N
CC0306FE10L0718177439	71817	Leaf	CentralCity	3	6	Full N	E10	PI297155	94	Energy	Full N_Energy	Energy_Full N
CC0307FS3L0718177440	71817	Leaf	CentralCity	3	7	Full N	S3	ICSV700	95	Sweet	Full N_Sweet	Sweet_Full N
CC0307LS3L0718177461	71817	Leaf	CentralCity	3	7	Low N	S3	ICSV700	96	Sweet	Low N_Sweet	Sweet_Low N
CC0308FE9L0718177441	71817	Leaf	CentralCity	3	8	Full N	E9	PI229841	97	Energy	Full N_Energy	Energy_Full N
CC0310LE13L0718177464	71817	Leaf	CentralCity	3	10	Low N	E13	PI297130	89	Energy	Low N_Energy	Energy_Low N
CC0311FE14L0718176047	71817	Leaf	CentralCity	3	11	Full N	E14	Grassl	82	Energy	Full N_Energy	Energy_Full N
CC0311LE14L0718176050	71817	Leaf	CentralCity	3	11	Low N	E14	Grassl	86	Energy	Low N_Energy	Energy_Low N
CC0312FS5L0718177444	71817	Leaf	CentralCity	3	12	Full N	S5	Leoti	92	Sweet	Full N_Sweet	Sweet_Full N
CC0313FE11L0718177445	71817	Leaf	CentralCity	3	13	Full N	E11	PI506069	93	Energy	Full N_Energy	Energy_Full N
CC0314LS8L0718177467	71817	Leaf	CentralCity	3	14	Low N	S8	Rio	96	Sweet	Low N_Sweet	Sweet_Low N
CC0316FE8L0718177448	71817	Leaf	CentralCity	3	16	Full N	E8	M81e	89	Energy	Full N_Energy	Energy_Full N
CC0321FE1L0718177453	71817	Leaf	CentralCity	3	21	Full N	E1	PI329311	98	Energy	Full N_Energy	Energy_Full N
CC0321LE1L0718177474	71817	Leaf	CentralCity	3	21	Low N	E1	PI329311	96	Energy	Low N_Energy	Energy_Low N
CC0322FE6L0718177454	71817	Leaf	CentralCity	3	22	Full N	E6	PI585954	97	Energy	Full N_Energy	Energy_Full N
CC0322LE6L0718177475	71817	Leaf	CentralCity	3	22	Low N	E6	PI585954	89	Energy	Low N_Energy	Energy_Low N
CC0323FE3L0718177455	71817	Leaf	CentralCity	3	23	Full N	E3	PI505735	94	Energy	Full N_Energy	Energy_Full N
CC0402LG1L0718177479	71817	Leaf	CentralCity	4	2	Low N	G1	BTx623	90	Grain	Low N_Grain	Grain_Low N
CC0403LE17L0718177480	71817	Leaf	CentralCity	4	3	Low N	E17	PI655972	94	Energy	Low N_Energy	Energy_Low N
CC0404FE10L0718177505	71817	Leaf	CentralCity	4	4	Full N	E10	PI297155	94	Energy	Full N_Energy	Energy_Full N
CC0406FS2L0718177507	71817	Leaf	CentralCity	4	6	Full N	S2	SanChiSan	89	Sweet	Full N_Sweet	Sweet_Full N
CC0408FS4L0718177509	71817	Leaf	CentralCity	4	8	Full N	S4	Atlas	92	Sweet	Full N_Sweet	Sweet_Full N
CC0410FS5L0718177511	71817	Leaf	CentralCity	4	10	Full N	S5	Leoti	94	Sweet	Full N_Sweet	Sweet_Full N
CC0412LE15L0718177489	71817	Leaf	CentralCity	4	12	Low N	E15	PI152730	92	Energy	Low N_Energy	Energy_Low N
CC0413FE6L0718177514	71817	Leaf	CentralCity	4	13	Full N	E6	PI585954	98	Energy	Full N_Energy	Energy_Full N
CC0420FE13L0718177521	71817	Leaf	CentralCity	4	20	Full N	E13	PI297130	96	Energy	Full N_Energy	Energy_Full N
CC0422FE14L0718177523	71817	Leaf	CentralCity	4	22	Full N	E14	Grassl	95	Energy	Full N_Energy	Energy_Full N
CC0422LE14L0718177499	71817	Leaf	CentralCity	4	22	Low N	E14	Grassl	93	Energy	Low N_Energy	Energy_Low N
CC0423FE3L0718177524	71817	Leaf	CentralCity	4	23	Full N	E3	PI505735	95	Energy	Full N_Energy	Energy_Full N
CC0424FE11L0718177525	71817	Leaf	CentralCity	4	24	Full N	E11	PI506069	89	Energy	Full N_Energy	Energy_Full N
CC0501LG1L0718176054	71817	Leaf	CentralCity	5	1	Low N	G1	BTx623	84	Grain	Low N_Grain	Grain_Low N
CC0502LG3L0718177547	71817	Leaf	CentralCity	5	2	Low N	G3	Btx642	94	Grain	Low N_Grain	Grain_Low N
CC0505FE17L0718176052	71817	Leaf	CentralCity	5	5	Full N	E17	PI655972	80	Energy	Full N_Energy	Energy_Full N
CC0506LE10L0718177550	71817	Leaf	CentralCity	5	6	Low N	E10	PI297155	95	Energy	Low N_Energy	Energy_Low N
CC0508LE5L0718177552	71817	Leaf	CentralCity	5	8	Low N	E5	PI35038	92	Energy	Low N_Energy	Energy_Low N
CC0510LE9L0718177554	71817	Leaf	CentralCity	5	10	Low N	E9	PI229841	90	Energy	Low N_Energy	Energy_Low N
CC0511LE7L0718177555	71817	Leaf	CentralCity	5	11	Low N	E7	NTJ2	94	Energy	Low N_Energy	Energy_Low N
CC0512FE14L0718176053	71817	Leaf	CentralCity	5	12	Full N	E14	Grassl	82	Energy	Full N_Energy	Energy_Full N
CC0513FS3L0718177535	71817	Leaf	CentralCity	5	13	Full N	S3	ICSV700	90	Sweet	Full N_Sweet	Sweet_Full N
CC0513LS3L0718177556	71817	Leaf	CentralCity	5	13	Low N	S3	ICSV700	92	Sweet	Low N_Sweet	Sweet_Low N
CC0514FE6L0718177536	71817	Leaf	CentralCity	5	14	Full N	E6	PI585954	90	Energy	Full N_Energy	Energy_Full N
CC0516FE11L0718177538	71817	Leaf	CentralCity	5	16	Full N	E11	PI506069	92	Energy	Full N_Energy	Energy_Full N
CC0516LE11L0718177559	71817	Leaf	CentralCity	5	16	Low N	E11	PI506069	96	Energy	Low N_Energy	Energy_Low N
CC0518FE3L0718177540	71817	Leaf	CentralCity	5	18	Full N	E3	PI505735	90	Energy	Full N_Energy	Energy_Full N
CC0519FS6L0718177541	71817	Leaf	CentralCity	5	19	Full N	S6	ChineseAmber	92	Sweet	Full N_Sweet	Sweet_Full N
CC0522FE18L0718177544	71817	Leaf	CentralCity	5	22	Full N	E18	PI510757	97	Energy	Full N_Energy	Energy_Full N
CC0522LE18L0718177565	71817	Leaf	CentralCity	5	22	Low N	E18	PI510757	96	Energy	Low N_Energy	Energy_Low N
CC0523LS8L0718177566	71817	Leaf	CentralCity	5	23	Low N	S8	Rio	91	Sweet	Low N_Sweet	Sweet_Low N
CC0601LG3L0718177394	71817	Leaf	CentralCity	6	1	Low N	G3	Btx642	79	Grain	Low N_Grain	Grain_Low N
CC0602FG1L0718176057	71817	Leaf	CentralCity	6	2	Full N	G1	BTx623	82	Grain	Full N_Grain	Grain_Full N
CC0602LG1L0718176060	71817	Leaf	CentralCity	6	2	Low N	G1	BTx623	84	Grain	Low N_Grain	Grain_Low N
CC0603FS2L0718177569	71817	Leaf	CentralCity	6	3	Full N	S2	SanChiSan	94	Sweet	Full N_Sweet	Sweet_Full N
CC0604FE10L0718177570	71817	Leaf	CentralCity	6	4	Full N	E10	PI297155	94	Energy	Full N_Energy	Energy_Full N
CC0605FE17L0718176058	71817	Leaf	CentralCity	6	5	Full N	E17	PI655972	79	Energy	Full N_Energy	Energy_Full N
CC0612FE14L0718176059	71817	Leaf	CentralCity	6	12	Full N	E14	Grassl	81	Energy	Full N_Energy	Energy_Full N
CC0612LE14L0718176062	71817	Leaf	CentralCity	6	12	Low N	E14	Grassl	79	Energy	Low N_Energy	Energy_Low N
CC0613FS3L0718177577	71817	Leaf	CentralCity	6	13	Full N	S3	ICSV700	89	Sweet	Full N_Sweet	Sweet_Full N
CC0620FE6L0718177399	71817	Leaf	CentralCity	6	20	Full N	E6	PI585954	87	Energy	Full N_Energy	Energy_Full N
CC0620LE6L0718177378	71817	Leaf	CentralCity	6	20	Low N	E6	PI585954	86	Energy	Low N_Energy	Energy_Low N
CC0621FE13L0718177398	71817	Leaf	CentralCity	6	21	Full N	E13	PI297130	79	Energy	Full N_Energy	Energy_Full N
CC0621LE13L0718177377	71817	Leaf	CentralCity	6	21	Low N	E13	PI297130	79	Energy	Low N_Energy	Energy_Low N
CC0703LS10L0718177371	71817	Leaf	CentralCity	7	3	Low N	S10	China17	82	Sweet	Low N_Sweet	Sweet_Low N
CC0712LE13L0718177362	71817	Leaf	CentralCity	7	12	Low N	E13	PI297130	80	Energy	Low N_Energy	Energy_Low N
CC0715LE11L0718177359	71817	Leaf	CentralCity	7	15	Low N	E11	PI506069	81	Energy	Low N_Energy	Energy_Low N
CC0722LE14L0718177352	71817	Leaf	CentralCity	7	22	Low N	E14	Grassl	79	Energy	Low N_Energy	Energy_Low N
CC0724LE7L0718177350	71817	Leaf	CentralCity	7	24	Low N	E7	NTJ2	86	Energy	Low N_Energy	Energy_Low N
CC0802LG1L0718176066	71817	Leaf	CentralCity	8	2	Low N	G1	BTx623	83	Grain	Low N_Grain	Grain_Low N
CC0806LS10L0718177774	71817	Leaf	CentralCity	8	6	Low N	S10	China17	90	Sweet	Low N_Sweet	Sweet_Low N
CC0807FE9L0718177321	71817	Leaf	CentralCity	8	7	Full N	E9	PI229841	80	Energy	Full N_Energy	Energy_Full N
CC0807LE9L0718177775	71817	Leaf	CentralCity	8	7	Low N	E9	PI229841	89	Energy	Low N_Energy	Energy_Low N
CC0812FS6L0718177316	71817	Leaf	CentralCity	8	12	Full N	S6	ChineseAmber	80	Sweet	Full N_Sweet	Sweet_Full N
CC0812LS6L0718177780	71817	Leaf	CentralCity	8	12	Low N	S6	ChineseAmber	94	Sweet	Low N_Sweet	Sweet_Low N
CC0815LE1L0718177783	71817	Leaf	CentralCity	8	15	Low N	E1	PI329311	92	Energy	Low N_Energy	Energy_Low N
CC0817FE7L0718177311	71817	Leaf	CentralCity	8	17	Full N	E7	NTJ2	82	Energy	Full N_Energy	Energy_Full N
CC0818LS3L0718177786	71817	Leaf	CentralCity	8	18	Low N	S3	ICSV700	96	Sweet	Low N_Sweet	Sweet_Low N
CC0819LE11L0718177787	71817	Leaf	CentralCity	8	19	Low N	E11	PI506069	94	Energy	Low N_Energy	Energy_Low N
CC0821LE14L0718176068	71817	Leaf	CentralCity	8	21	Low N	E14	Grassl	80	Energy	Low N_Energy	Energy_Low N
CC0822FS5L0718177768	71817	Leaf	CentralCity	8	22	Full N	S5	Leoti	93	Sweet	Full N_Sweet	Sweet_Full N
CC0823FE13L0718177769	71817	Leaf	CentralCity	8	23	Full N	E13	PI297130	95	Energy	Full N_Energy	Energy_Full N
CC0823LE13L0718177790	71817	Leaf	CentralCity	8	23	Low N	E13	PI297130	92	Energy	Low N_Energy	Energy_Low N
CC0824LE3L0718177791	71817	Leaf	CentralCity	8	24	Low N	E3	PI505735	97	Energy	Low N_Energy	Energy_Low N
CC01FNPS30718176402	71817	Soil Between Rows	CentralCity	1		Full N	NotApplicable	NotApplicable	77	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC01FNPS40718176403	71817	Soil Between Rows	CentralCity	1		Full N	NotApplicable	NotApplicable	76	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC01LNPS10718176400	71817	Soil Between Rows	CentralCity	1		Low N	NotApplicable	NotApplicable	73	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC01LNPS20718176401	71817	Soil Between Rows	CentralCity	1		Low N	NotApplicable	NotApplicable	76	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC02FNPS70718176406	71817	Soil Between Rows	CentralCity	2		Full N	NotApplicable	NotApplicable	71	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC02FNPS80718176407	71817	Soil Between Rows	CentralCity	2		Full N	NotApplicable	NotApplicable	77	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC02LNPS60718176405	71817	Soil Between Rows	CentralCity	2		Low N	NotApplicable	NotApplicable	72	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC03FNPS100718176409	71817	Soil Between Rows	CentralCity	3		Full N	NotApplicable	NotApplicable	73	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC03FNPS90718176408	71817	Soil Between Rows	CentralCity	3		Full N	NotApplicable	NotApplicable	76	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC03LNPS110718176410	71817	Soil Between Rows	CentralCity	3		Low N	NotApplicable	NotApplicable	71	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC03LNPS120718176411	71817	Soil Between Rows	CentralCity	3		Low N	NotApplicable	NotApplicable	77	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC04FNPS150718176414	71817	Soil Between Rows	CentralCity	4		Full N	NotApplicable	NotApplicable	72	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC04FNPS160718176415	71817	Soil Between Rows	CentralCity	4		Full N	NotApplicable	NotApplicable	71	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC04LNPS130718176412	71817	Soil Between Rows	CentralCity	4		Low N	NotApplicable	NotApplicable	77	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC05FNPS170718176416	71817	Soil Between Rows	CentralCity	5		Full N	NotApplicable	NotApplicable	71	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC05FNPS180718176417	71817	Soil Between Rows	CentralCity	5		Full N	NotApplicable	NotApplicable	71	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC05LNPS190718176418	71817	Soil Between Rows	CentralCity	5		Low N	NotApplicable	NotApplicable	71	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC05LNPS200718176419	71817	Soil Between Rows	CentralCity	5		Low N	NotApplicable	NotApplicable	71	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC06FNPS210718176420	71817	Soil Between Rows	CentralCity	6		Full N	NotApplicable	NotApplicable	76	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC06FNPS220718176421	71817	Soil Between Rows	CentralCity	6		Full N	NotApplicable	NotApplicable	78	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC06LNPS230718176422	71817	Soil Between Rows	CentralCity	6		Low N	NotApplicable	NotApplicable	70	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC06LNPS240718176423	71817	Soil Between Rows	CentralCity	6		Low N	NotApplicable	NotApplicable	77	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC07FNPS270718176426	71817	Soil Between Rows	CentralCity	7		Full N	NotApplicable	NotApplicable	77	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC07FNPS280718176427	71817	Soil Between Rows	CentralCity	7		Full N	NotApplicable	NotApplicable	73	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC07LNPS250718176424	71817	Soil Between Rows	CentralCity	7		Low N	NotApplicable	NotApplicable	73	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC07LNPS260718176425	71817	Soil Between Rows	CentralCity	7		Low N	NotApplicable	NotApplicable	77	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC08FNPS290718176428	71817	Soil Between Rows	CentralCity	8		Full N	NotApplicable	NotApplicable	77	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC08FNPS300718176429	71817	Soil Between Rows	CentralCity	8		Full N	NotApplicable	NotApplicable	74	NotApplicable	Full N_NotApplicable	NotApplicable_Full N
CC08LNPS310718176430	71817	Soil Between Rows	CentralCity	8		Low N	NotApplicable	NotApplicable	70	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC08LNPS320718176431	71817	Soil Between Rows	CentralCity	8		Low N	NotApplicable	NotApplicable	70	NotApplicable	Low N_NotApplicable	NotApplicable_Low N
CC0101FG1Z0718175340	71817	Rhizosphere	CentralCity	1	1	Full N	G1	BTx623	62	Grain	Full N_Grain	Grain_Full N
CC0101LG1Z0718175337	71817	Rhizosphere	CentralCity	1	1	Low N	G1	BTx623	65	Grain	Low N_Grain	Grain_Low N
CC0102FG3Z0718176134	71817	Rhizosphere	CentralCity	1	2	Full N	G3	Btx642	65	Grain	Full N_Grain	Grain_Full N
CC0102LG3Z0718176113	71817	Rhizosphere	CentralCity	1	2	Low N	G3	Btx642	68	Grain	Low N_Grain	Grain_Low N
CC0103FS10Z0718176135	71817	Rhizosphere	CentralCity	1	3	Full N	S10	China17	67	Sweet	Full N_Sweet	Sweet_Full N
CC0103LS10Z0718176114	71817	Rhizosphere	CentralCity	1	3	Low N	S10	China17	69	Sweet	Low N_Sweet	Sweet_Low N
CC0104FE17Z0718175341	71817	Rhizosphere	CentralCity	1	4	Full N	E17	PI655972	62	Energy	Full N_Energy	Energy_Full N
CC0104LE17Z0718175338	71817	Rhizosphere	CentralCity	1	4	Low N	E17	PI655972	67	Energy	Low N_Energy	Energy_Low N
CC0105FS2Z0718176136	71817	Rhizosphere	CentralCity	1	5	Full N	S2	SanChiSan	63	Sweet	Full N_Sweet	Sweet_Full N
CC0106FE10Z0718176137	71817	Rhizosphere	CentralCity	1	6	Full N	E10	PI297155	67	Energy	Full N_Energy	Energy_Full N
CC0106LE10Z0718176116	71817	Rhizosphere	CentralCity	1	6	Low N	E10	PI297155	69	Energy	Low N_Energy	Energy_Low N
CC0107FE8Z0718176138	71817	Rhizosphere	CentralCity	1	7	Full N	E8	M81e	65	Energy	Full N_Energy	Energy_Full N
CC0107LE8Z0718176117	71817	Rhizosphere	CentralCity	1	7	Low N	E8	M81e	63	Energy	Low N_Energy	Energy_Low N
CC0108FS3Z0718176139	71817	Rhizosphere	CentralCity	1	8	Full N	S3	ICSV700	64	Sweet	Full N_Sweet	Sweet_Full N
CC0108LS3Z0718178574	71817	Rhizosphere	CentralCity	1	8	Low N	S3	ICSV700	96	Sweet	Low N_Sweet	Sweet_Low N
CC0109FS5Z0718176140	71817	Rhizosphere	CentralCity	1	9	Full N	S5	Leoti	65	Sweet	Full N_Sweet	Sweet_Full N
CC0109LS5Z0718176119	71817	Rhizosphere	CentralCity	1	9	Low N	S5	Leoti	68	Sweet	Low N_Sweet	Sweet_Low N
CC0110FE5Z0718176141	71817	Rhizosphere	CentralCity	1	10	Full N	E5	PI35038	62	Energy	Full N_Energy	Energy_Full N
CC0110LE5Z0718176120	71817	Rhizosphere	CentralCity	1	10	Low N	E5	PI35038	66	Energy	Low N_Energy	Energy_Low N
